# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# Number of images: 240, mean observations per image: TBD
1 0.027432127840613926 0.009279212845558995 -0.3202915063883478 0.9468762989464812 0 0 0 1 image_1.png

2 -0.5343668524273198 -0.18075558141298453 -0.264575486112503 0.7821632175980315 0 0 0 2 image_2.png

3 -0.4346931489998328 -0.35953075959549124 -0.5262522195778898 0.63626889009808 0 0 0 3 image_3.png

4 0.1793131872616338 0.21679986542852422 0.7394552559192282 -0.6115967002181067 0 0 0 4 image_4.png

5 0.022315311324810714 0.018456785016121066 -0.6370738690072053 0.7702585665836736 0 0 0 5 image_5.png

6 0.8920558686453187 0.3017478966121659 0.10780059565157403 -0.3186903915758134 0 0 0 6 image_6.png

7 0.5787529760335287 0.19576965430209645 -0.25366710350782967 0.74991481901928 0 0 0 7 image_7.png

8 -0.21442010623921462 -0.2592461000812647 0.7256636326473674 -0.6001897782252253 0 0 0 8 image_8.png

9 0.0901504404394447 0.26651134295897466 0.9090098689970366 -0.3074827803776469 0 0 0 9 image_9.png

10 0.5045549353362289 0.610035668604771 0.47080009870684275 -0.3893944880393291 0 0 0 10 image_10.png

11 0.7394552555111568 0.6115966922294211 -0.179313210979183 0.21679986974003373 0 0 0 11 image_11.png

12 0.5262522195778898 0.63626889009808 -0.4346931489998328 0.35953075959549124 0 0 0 12 image_12.png

13 0.26457548259419167 0.7821632212771199 -0.5343668549408398 0.1807555632119941 0 0 0 13 image_13.png

14 0.3202915063561922 0.9468762988514198 0.027432127837859883 -0.009279223663937585 0 0 0 14 image_14.png

15 0.6370738643743714 0.7702585706551445 0.022315311162532624 -0.018456775209071786 0 0 0 15 image_15.png

16 0.9090098729072139 0.3074827653075694 -0.0901504490236033 0.2665113441053941 0 0 0 16 image_16.png

17 0.47080009870684275 0.3893944880393291 -0.5045549353362289 0.610035668604771 0 0 0 17 image_17.png

18 -0.10780059565157403 -0.3186903915758134 0.8920558686453187 -0.3017478966121659 0 0 0 18 image_18.png

19 0.25366710902382855 0.749914825825183 0.5787529659508394 -0.19576965089151424 0 0 0 19 image_19.png

20 0.7256636262571496 0.6001897729399344 0.2144201454200841 -0.25924609779833496 0 0 0 20 image_20.png

21 0.7590379181046084 0.25675306619507404 -0.1917044895008227 0.5667351150088361 0 0 0 21 image_21.png

22 0.28095601737333387 0.09503652216784142 -0.3060078837075056 0.9046496287871951 0 0 0 22 image_22.png

23 0.22855020438298357 0.189031810874366 -0.608663089894187 0.735908296973553 0 0 0 23 image_23.png

24 -0.36786715537469705 -0.4447723608040721 0.6292644942027636 -0.5204589315181756 0 0 0 24 image_24.png

25 0.6174570539735723 0.510693129321091 -0.3813086674797432 0.46102387602740375 0 0 0 25 image_25.png

26 -0.3044414956558748 -0.1029807389599324 -0.30342664310502526 0.8970187374743606 0 0 0 26 image_26.png

27 0.9471931187508599 0.32039866199014344 -0.004176535774216402 0.012347053691955002 0 0 0 27 image_27.png

28 0.603528885198231 0.7297007718467589 -0.24765503809406206 0.20483322583080485 0 0 0 28 image_28.png

29 -0.18494673529408828 -0.546757180186683 0.7735527327120395 -0.2616628761060718 0 0 0 29 image_29.png

30 0.008307274301832226 0.01004399840896642 0.7705162898082923 -0.6372870267232015 0 0 0 30 image_30.png

31 0.6292644792955654 0.5204589526617236 0.36786715358169986 -0.4447723586362363 0 0 0 31 image_31.png

32 0.6086630898941872 0.7359082969735531 0.22855020438298362 -0.18903181087436602 0 0 0 32 image_32.png

33 0.3060078687781848 0.9046496333470679 0.28095601878948845 -0.09503652264687157 0 0 0 33 image_33.png

34 0.19170448901768092 0.5667351135805262 0.759037916191649 -0.25675307536381575 0 0 0 34 image_34.png

35 0.3813086731084815 0.46102388283286866 0.6174570691215246 -0.5106931006600848 0 0 0 35 image_35.png

36 0.7735527335184202 0.26166288601047827 0.18494671622360542 -0.5467571807566434 0 0 0 36 image_36.png

37 0.7705162898082923 0.6372870267232015 -0.008307274301832226 0.01004399840896642 0 0 0 37 image_37.png

38 0.30342663556379745 0.8970187397350653 -0.3044414964231412 0.10298073921946883 0 0 0 38 image_38.png

39 0.004176540690354014 0.012347053691701483 0.9471931187314113 -0.32039866198356476 0 0 0 39 image_39.png

40 -0.24765503504180902 -0.20483322330631415 -0.6035288981808898 0.7297007628534776 0 0 0 40 image_40.png

41 0.52462723182958 0.17746100429595846 -0.26679643881392806 0.7887290534862449 0 0 0 41 image_41.png

42 -0.03917095039452658 -0.013250011681952709 -0.3201518221228059 0.9464633561987833 0 0 0 42 image_42.png

43 -0.03186452193052651 -0.026354855235449722 -0.6367960271965811 0.7699226542934741 0 0 0 43 image_43.png

44 -0.17171581486124798 -0.2076142294685815 0.742086645661959 -0.6137731021956624 0 0 0 44 image_44.png

45 0.42677024944460334 0.35297778288481046 -0.530669791952726 0.6416100146409541 0 0 0 45 image_45.png

46 -0.5880071512055282 -0.19890000238595373 -0.25122014319387054 0.7426808324143541 0 0 0 46 image_46.png

47 0.8880356527649262 0.300387996083673 -0.11153385865713844 0.3297270531822591 0 0 0 47 image_47.png

48 0.49968782046165 0.6041510216361266 -0.4783281092149102 0.3956208349836991 0 0 0 48 image_48.png

49 -0.08633085461045083 -0.2552194891368686 0.9122446240554664 -0.30857696250505445 0 0 0 49 image_49.png

